id,时间,内容
20181114434,2023-11-25 15:57:44,真材实料，价廉物美。
20377806985,2024-01-19 11:18:26,壶已收到待用后再评包装好送货快快递小哥服务好
20566305030,2024-03-11 07:06:24,物流给力，包装完好，做工精细。
20079705034,2023-11-03 13:55:23,送朋友的生日礼物，实物很漂亮，包装大气上档次，严实合缝，大小也合适，看起来性价比非常不错，质量很好，物有所值，值得推荐。
19142382754,2023-05-24 16:14:18,造型款式新颖独特😜做工精美细腻👍手感很好，出水断水不挂滴，很棒✌️性价比高，服务好发货快🌈
19126985418,2023-05-19 18:08:31,壶的做工很不错，质量密封度也很👌，出水利落，气孔一按就能闭水，图案很精美，物美价廉，老板的服务也不错，值得推荐。
19065992186,2023-04-28 23:07:09,挺好的，紫陶，不像**现在假的太多，出水顺畅，很满意，有点像汉瓦，大口，倒茶渣方便，清洗也好弄，大方好用，值得推荐，很愉快的产品购买
19749489394,2023-09-18 19:31:53,做工很好，包装很好！物流送货也很快！的容量比图片小了一点，送了夹子，考虑得很周到！好评好评好评好评好评好评好评好评好评！
19563419378,2023-08-22 20:43:20,你们发的产品有问题，有贴纸痕迹。去不了
20057996367,2023-10-29 18:52:27,做工新颖，工艺美观，大小正合适，出水太帅了😎，是正品，带证书，送人也是高大上，包装礼盒很好，不错👍满分好评，有需要还会回购的。
20158292222,2023-11-19 12:57:23,"做工品质：工艺精湛造型美观实用
出水难易：非常流畅
包装特点：礼盒包装严实，送人也很漂亮哈
材质特点：手感好
容量大小：合适"
18806890163,2023-02-19 23:29:54,莲花纹路清晰形象逼真，手感细腻舒服，复古风十足，沉稳大气上档次，养一养应该更出彩！漂亮
19144394297,2023-05-25 09:06:31,包装严实，完好无损，做工精致，爱不释手。紫陶富含有益健康的天然铁质，可软化水质使其柔软甘甜，最适合用来泡茶了，这也是我们云南人的特色～
19945856005,2023-10-08 12:51:43,茶壶漂亮，倒茶清洗很方便！
19131634250,2023-05-21 10:45:44,质感非常好，很适合我们潮汕家庭泡茶。
18800884678,2023-02-18 19:54:45,质量不错，握感很好，性价比高！喜欢💕
19888583242,2023-10-02 18:31:50,"出水流畅！
造型精美！
淳朴大方！
质感很好！"
19359844448,2023-07-22 14:22:57,"做工品质：不错
出水难易：痛快
包装特点：没问题
材质特点：无异味，是正品
容量大小：大小合适
清洗难易：易冲洗"
20142815283,2023-11-15 18:36:49,壶已经收到，还没有打开，感官效果还不错，具体没有仔细检查，壶内是否可以，待打开后使用，再做评论。
19954786171,2023-10-10 12:54:01,大小合适工艺美观。
19366358635,2023-07-24 15:04:43,发货快，态度好。满意
20328078143,2024-01-04 20:56:51,很满意的一次购物，点赞
19553590712,2023-08-19 17:46:40,习惯性好评，物流快。
20456269069,2024-02-04 17:48:29,很喜欢
20773325966,2024-05-06 20:14:30,想退货也退不了，后台把退货的退回方式都改了，网购体验感非常差，最差的一次购物。
19302400552,2023-07-04 16:26:13,挺好的，爸爸很喜欢💕对得起这个价格。
20083063113,2023-11-04 08:47:20,感觉还可以，就是有点小。
19137865191,2023-05-23 09:59:57,假的
19848874496,2023-09-27 19:29:34,物流野蛮装卸太差了
20146995086,2023-11-16 16:48:33,好评好评好评好评😎
20545996862,2024-03-05 22:22:39,不错😄好用
19580953765,2023-08-27 01:51:40,品质不错
20369752358,2024-01-16 22:30:33,太差了
18865415051,2023-03-06 17:58:04,收到货后发现有如下问题，1不是手工壶，壶里没有手工拉坯的印记，2壶内有上釉，真紫陶只打磨不上釉，3只有底章，一般手工作品有四个章，4发货地竟然是福建德化，而不是云南，要知道紫陶大都是源产地云南当地发货，因为云南源产地对紫陶泥的管制很严，一般不会让其外运，5壶盖很松，明显不配套，真手工紫陶提盖可转壶，壶盖与壶身很紧密，6当时是看到京东自营店才买的，谁知如此让人失望。附产品图片。
19065992186,2023-04-28 23:07:09,挺好的，紫陶，不像**现在假的太多，出水顺畅，很满意，有点像汉瓦，大口，倒茶渣方便，清洗也好弄，大方好用，值得推荐，很愉快的产品购买
